SN,msgtype,messages,SendTime,MOMSN,recs,sensors,software,H_MeasureTime,H_Dutycycle,H_Endvolt,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,AirTemp
306,10,2,25/02/2020 12:00,304/305,132/109,241,707,0,0,0,-29.875,-29.8125,-29.6875,-29.75,-29.6875,-29.6875,-29.75,-29.6875,-29.875,-29.9375,-29.9375,-30.0625,-29.875,-29.9375,-30.0625,-29.875,-29.9375,-29.8125,-29.75,-29.75,-29.75,-29.625,-29.625,-29.6875,-29.6875,-29.6875,-29.6875,-29.5625,-29.75,-29.625,-29.6875,-29.6875,-29.8125,-29.6875,-29.75,-29.625,-29.6875,-29.6875,-29.625,-29.6875,-29.75,-29.75,-29.75,-30,-30,-30.25,-30.25,-30.5,-30.4375,-30.375,-30.1875,-29.9375,-29.8125,-29.6875,-29.5,-29.375,-29.4375,-29.4375,-29.4375,-29.5625,-29.5625,-29.4375,-29.5625,-29.625,-29.6875,-29.75,-29.875,-29.8125,-29.8125,-29.8125,-29.8125,-29.6875,-29.875,-29.8125,-29.6875,-29.8125,-29.75,-29.6875,-29.6875,-29.6875,-29.75,-29.875,-29.875,-29.8125,-29.75,-29.8125,-29.8125,-29.9375,-29.8125,-29.8125,-29.75,-29.75,-29.875,-29.75,-29.75,-29.8125,-29.75,-29.8125,-29.75,-29.8125,-29.75,-29.75,-29.9375,-29.8125,-29.625,-29.75,-29.6875,-29.5,-29.625,-29.5,-29.5625,-29.4375,-29.5625,-29.8125,-29.8125,-29.6875,-29.75,-29.9375,-30,-30.125,-30.0625,-30.0625,-29.9375,-29.75,-29.625,-29.5,-29.5,-29.4375,-29.4375,-29.4375,-29.5,-29.5625,-29.4375,-29.625,-29.6875,-29.8125,-29.8125,-29.8125,-29.875,-29.75,-29.875,-29.875,-29.8125,-29.9375,-29.9375,-29.8125,-29.75,-29.6875,-29.6875,-29.6875,-29.75,-29.8125,-29.9375,-30,-29.8125,-29.8125,-29.8125,-29.8125,-29.8125,-29.875,-29.75,-29.8125,-29.75,-29.75,-29.75,-29.75,-29.8125,-29.75,-29.8125,-29.8125,-29.875,-29.8125,-29.875,-29.875,-29.8125,-29.8125,-29.75,-29.8125,-29.625,-29.8125,-29.6875,-29.5625,-29.625,-29.75,-29.625,-29.6875,-29.6875,-29.75,-29.8125,-30,-30,-30.0625,-29.875,-29.8125,-29.5625,-29.5,-29.4375,-29.4375,-29.3125,-29.4375,-29.5625,-29.625,-29.5,-29.6875,-29.6875,-29.8125,-29.8125,-29.75,-29.25,-29.8125,-29.8125,-29.875,-29.9375,-29.8125,-29.875,-30,-30,-29.875,-29.875,-29.9375,-29.75,-29.9375,-29.875,-29.75,-29.9375,-29.9375,-29.8125,-29.8125,-29.8125,-29.8125,-29.9375,-29.75,-29.8125,-29.6875,-29.9375,-29.8125,-29.8125,-29.75,-29.8125,-29.8125,-29.5625
312,10,2,25/02/2020 18:00,306/307,132/109,241,707,0,0,0,-22.9375,-23.375,-23.5625,-23.75,-23.75,-23.8125,-23.875,-23.6875,-23.375,-22.9375,-22.6875,-22.5625,-22.5,-22.8125,-23,-22.875,-22.8125,-22.5,-22.3125,-22.25,-22.4375,-22.4375,-22.125,-21.75,-21.375,-20.8125,-20,-19.5625,-19.75,-19.875,-20.125,-20.4375,-20.875,-21.1875,-21.375,-21.25,-21.3125,-21.5,-21.9375,-22.5,-22.75,-22.75,-22.5625,-22.1875,-21.75,-21.375,-21,-20.9375,-20.75,-20.625,-20.625,-20.8125,-21.5,-22.5625,-23.1875,-23.4375,-23.8125,-24.0625,-24.0625,-23.9375,-23.75,-23.3125,-23,-22.4375,-22.125,-22.0625,-22.25,-22.5,-22.625,-22.625,-22.5625,-22.3125,-22.4375,-22.5,-22.8125,-23.25,-23.5625,-23.6875,-23.5625,-23.375,-23.1875,-23.0625,-22.8125,-22.875,-22.75,-22.6875,-22.5625,-22.625,-22.5625,-22.625,-22.75,-22.75,-22.75,-22.625,-22.5,-22.5625,-22.4375,-22.375,-22.25,-22.125,-21.75,-21.1875,-20.75,-20.3125,-20.4375,-21.25,-21.75,-22.0625,-22.625,-22.9375,-23.375,-23.5625,-23.8125,-23.875,-23.5625,-23.125,-22.8125,-22.5,-22.3125,-22.25,-22.25,-22.25,-22.25,-22.5625,-23.1875,-23.6875,-23.875,-23.5625,-23,-22.5625,-22.1875,-21.75,-21.125,-20.8125,-20.3125,-19.8125,-19.1875,-19.4375,-19.75,-19.9375,-20.5625,-20.875,-21.0625,-21.25,-21.3125,-21.4375,-21.9375,-22.5,-23,-23.4375,-23.3125,-22.875,-22.6875,-22.6875,-22.5625,-22.75,-22.75,-22.625,-22.625,-22.6875,-22.5625,-22.5,-22.625,-22.8125,-22.875,-22.75,-22.5,-22.0625,-21.3125,-20.75,-20.9375,-21.4375,-21.3125,-20.8125,-20.125,-19.75,-19.8125,-20.1875,-20.3125,-20.875,-21.25,-21.8125,-22.4375,-22.75,-22.5625,-22.375,-21.875,-21.125,-20.4375,-19.875,-19.4375,-19.0625,-18.8125,-19.125,-20.375,-21.75,-22.5,-23,-23.1875,-23.125,-23,-22.6875,-22.25,-21.9375,-21.375,-20.8125,-20.3125,-20.0625,-19.875,-20.125,-20.1875,-20.375,-20.6875,-21,-21.25,-21.3125,-21.3125,-21.375,-21.9375,-22.75,-23.375,-23.9375,-23.875,-23.5,-23.375,-23.125,-22.8125,-22.5625,-22.375,-22.3125,-22.1875,-21.8125,-21.625,-21.4375,-21.5,-21.625,-21.6875,-21.5,-21.375,-21.125,-22.9375
312,11,1,25/02/2020 18:02,308,241,241,707,30,0,7980,1.8125,1.875,1.9375,2.0625,2.125,2.25,2.3125,2.25,2.375,2.375,2.375,2.4375,2.4375,2.5,2.4375,2.375,2.4375,2.375,2.375,2.125,2.0625,1.9375,2,1.9375,1.8125,1.9375,1.9375,2.125,2.125,2.125,2.1875,2.1875,2.1875,2.1875,2.0625,2.125,2.125,2,1.9375,1.9375,1.9375,1.875,1.875,1.875,1.75,1.75,1.6875,1.625,1.75,1.8125,1.75,1.8125,1.8125,1.625,1.6875,1.875,1.8125,1.6875,1.75,1.8125,1.9375,1.875,1.9375,2.0625,2.125,2.0625,2,1.9375,1.875,1.8125,1.6875,1.6875,1.75,1.75,1.8125,1.8125,1.75,1.75,1.8125,2,1.9375,1.9375,2,2.0625,2,1.875,1.875,1.8125,1.625,1.5625,1.5,1.5,1.5,1.4375,1.4375,1.3125,1.4375,1.625,1.75,1.875,2,1.9375,2,2.0625,2,2.0625,2.0625,2,1.9375,1.9375,1.875,1.8125,1.8125,1.875,1.875,1.875,1.875,1.75,1.5625,1.625,1.5625,1.6875,1.75,1.75,1.6875,1.6875,1.625,1.75,1.75,1.6875,1.625,1.6875,1.6875,1.6875,1.75,1.875,2.125,2,1.75,1.6875,1.6875,1.625,1.4375,1.4375,1.375,1.4375,1.5,1.5625,1.6875,1.6875,1.8125,1.8125,1.6875,1.6875,1.6875,1.75,1.75,1.75,1.8125,1.875,1.75,1.6875,1.5,1.5625,1.625,1.5625,1.5625,1.5,1.5,1.625,1.75,1.8125,1.875,1.875,1.8125,1.875,1.9375,2,1.875,1.875,1.8125,1.75,1.75,1.6875,1.625,1.625,1.75,1.75,1.625,1.5,1.5,1.5,1.5,1.5625,1.5625,1.5625,1.5625,1.5,1.4375,1.4375,1.4375,1.4375,1.5625,1.6875,1.75,1.8125,1.875,1.875,1.9375,2,1.9375,1.75,1.6875,1.6875,1.625,1.625,1.5625,1.5,1.5,1.4375,1.4375,1.4375,1.5,1.4375,1.5,1.5,1.5,1.4375,1.5625,1.5,1.5,1.5625,1.5,1.5,1.5625,1.5625,1.5625,1.625,1.5625,1.3125,0.125
312,14,1,25/02/2020 18:02,309,241,241,707,120,0,7980,3.8125,4.4375,4.75,4.9375,4.875,4.875,4.875,4.75,4.875,5.0625,5.125,5.25,5.25,5.25,5.25,5.1875,5.1875,5.1875,5.125,4.8125,4.5,4.1875,4.1875,4.125,4,4.1875,4.375,4.4375,4.5,4.4375,4.4375,4.375,4.375,4.3125,4.1875,4.375,4.4375,4.375,4.3125,4.3125,4.375,4.375,4.3125,4.375,4.375,4.375,4.3125,4.3125,4.3125,4.375,4.375,4.25,4.0625,3.75,3.875,4,4,3.875,3.9375,4.0625,4.1875,4.1875,4.25,4.375,4.5,4.5,4.5625,4.5625,4.4375,4.4375,4.3125,4.125,4.0625,4.0625,4.1875,4.3125,4.375,4.3125,4.375,4.5,4.5,4.625,4.6875,4.625,4.5,4.4375,4.375,4.125,3.8125,4,4,4.125,4.0625,3.9375,3.875,3.6875,3.6875,3.75,3.8125,3.9375,4.125,4.125,4.25,4.3125,4.125,4,3.8125,3.75,3.6875,3.5625,3.5625,3.5,3.5,3.5,3.4375,3.375,3.4375,3.375,3.25,3.5,3.625,3.875,4.0625,3.9375,3.75,3.6875,3.6875,4,4.0625,4,4,4.125,4.1875,4.3125,4.3125,4.25,4.3125,4.375,4.4375,4.375,4.5625,4.625,4.375,4.375,4.3125,4.375,4.375,4.3125,4.25,4.0625,4.0625,4,4,4.0625,4.0625,4.125,4.1875,4.3125,4.3125,4.3125,4.25,4.3125,4.125,3.9375,3.875,3.8125,3.8125,3.5625,3.4375,3.5625,3.6875,3.75,3.9375,4.0625,4.1875,4.125,3.9375,3.75,3.75,3.875,3.875,3.8125,3.6875,3.625,3.6875,3.6875,3.8125,3.8125,3.6875,3.5625,3.5,3.4375,3.375,3.5,3.625,3.5625,3.4375,3.375,3.375,3.5625,3.625,3.625,3.6875,3.875,4,4.0625,4.0625,4,4,4.1875,4.25,4.125,4.125,4.3125,4.3125,4.25,4.125,4.0625,4,3.8125,3.6875,3.8125,4,4.125,4.25,4.125,3.875,3.6875,3.5,3.375,3.3125,3.4375,3.375,3.3125,3.3125,3,2.875,2.9375,2.875,2.3125,-0.0625
318,10,2,26/02/2020 00:00,311/312,132/109,241,707,0,0,0,-28.5625,-28.5625,-28.5,-28.5625,-28.625,-28.75,-28.9375,-29.0625,-29.4375,-29.75,-30.0625,-30.25,-29.875,-29.25,-28.8125,-28.375,-28.375,-28.1875,-28.125,-28.0625,-27.9375,-27.9375,-27.875,-27.875,-27.9375,-27.9375,-27.875,-27.8125,-28,-27.875,-27.875,-27.875,-28.0625,-28,-28.0625,-28,-28.125,-28.0625,-28.0625,-28,-28,-27.9375,-27.875,-28,-28.1875,-28.8125,-29.125,-29.4375,-29.375,-29.3125,-29.0625,-28.8125,-28.75,-28.625,-28.5,-28.4375,-28.4375,-28.375,-28.375,-28.375,-28.3125,-28.125,-28.25,-28.25,-28.4375,-28.5,-28.5625,-28.6875,-28.6875,-28.75,-28.8125,-28.8125,-29.0625,-29.1875,-29.125,-29.25,-29.25,-29.3125,-29.3125,-29.25,-29.0625,-28.6875,-28.375,-28.125,-28.0625,-28.125,-28.0625,-28,-27.75,-27.75,-27.8125,-27.75,-27.9375,-27.875,-27.75,-27.875,-27.75,-27.8125,-27.6875,-27.6875,-27.6875,-27.6875,-27.9375,-27.8125,-27.75,-27.9375,-28,-27.9375,-28.125,-28.0625,-28.1875,-28.0625,-28.1875,-28.4375,-28.5,-28.375,-28.5,-28.8125,-29.125,-29.3125,-29.3125,-29.375,-29.25,-29.1875,-29,-28.9375,-29,-29.0625,-29,-28.9375,-28.875,-28.875,-28.6875,-28.875,-28.875,-28.875,-28.6875,-28.6875,-28.8125,-28.6875,-28.6875,-28.6875,-28.6875,-28.8125,-28.875,-28.875,-28.9375,-29.0625,-29.125,-29.3125,-29.5,-29.625,-29.625,-29.5,-28.9375,-28.5625,-28.375,-28.375,-28.3125,-28.1875,-28,-27.9375,-27.8125,-27.8125,-27.875,-27.8125,-27.875,-27.8125,-27.8125,-27.8125,-27.875,-27.8125,-27.8125,-27.875,-27.875,-27.875,-27.875,-28.0625,-27.875,-28.0625,-27.9375,-27.8125,-27.8125,-27.9375,-27.8125,-27.875,-27.9375,-28.1875,-28.5,-28.875,-29.1875,-29.3125,-29.125,-29.1875,-29.0625,-28.9375,-28.8125,-28.875,-28.5625,-28.5,-28.4375,-28.375,-28.25,-28.375,-28.4375,-28.5625,-28.5625,-28.5,-28.125,-28.6875,-28.8125,-29,-29,-28.875,-29,-29.25,-29.375,-29.3125,-29.375,-29.5,-29.375,-29.5,-29.25,-28.9375,-28.875,-28.6875,-28.1875,-27.9375,-27.875,-27.875,-28,-27.9375,-28.125,-28.125,-28.25,-28.1875,-28.125,-27.9375,-28,-28,-28.0625
324,10,2,26/02/2020 06:00,313/314,132/109,241,707,0,0,0,-31.625,-31.6875,-31.625,-31.8125,-31.875,-31.9375,-32.125,-32.3125,-32.9375,-33.4375,-33.75,-33.875,-33.5625,-33.0625,-32.625,-32,-31.9375,-31.625,-31.375,-31.1875,-31.125,-30.9375,-30.75,-30.75,-30.6875,-30.6875,-30.625,-30.5,-30.75,-30.625,-30.6875,-30.75,-30.9375,-30.9375,-31,-31,-31.0625,-31.0625,-31.125,-31.125,-31.25,-31.4375,-31.75,-32.3125,-32.75,-33.1875,-33.125,-33.25,-32.9375,-32.75,-32.375,-31.9375,-31.8125,-31.5625,-31.375,-31.25,-31.125,-31,-30.8125,-30.8125,-30.875,-30.75,-30.875,-30.9375,-31,-30.875,-30.8125,-30.625,-30.5625,-30.625,-30.6875,-30.6875,-30.875,-30.8125,-30.625,-30.75,-30.8125,-30.9375,-31.1875,-31.5,-31.6875,-31.75,-31.5,-31.1875,-31.125,-31.125,-30.9375,-30.8125,-30.4375,-30.25,-30.25,-30.3125,-30.5,-30.5,-30.5,-30.625,-30.5,-30.5625,-30.5,-30.5,-30.5,-30.5625,-30.9375,-30.875,-30.9375,-31.125,-31.0625,-30.875,-31,-30.9375,-31,-31,-31.25,-31.75,-32.0625,-32.25,-32.625,-32.9375,-33,-32.9375,-32.75,-32.75,-32.4375,-32.3125,-32.0625,-31.9375,-31.875,-31.75,-31.4375,-31.1875,-31.125,-31.0625,-30.75,-30.875,-30.8125,-30.875,-30.75,-30.625,-30.6875,-30.5,-30.5,-30.5625,-30.5625,-30.625,-30.625,-30.625,-30.625,-30.75,-30.9375,-31.25,-31.6875,-32.125,-32.5,-32.75,-32.5,-32.25,-32,-31.6875,-31.4375,-31.1875,-30.875,-30.8125,-30.5625,-30.625,-30.625,-30.5625,-30.625,-30.5625,-30.5625,-30.6875,-30.8125,-30.875,-31,-31.125,-31.1875,-31.25,-31.25,-31.375,-31.125,-31.25,-31.125,-31.0625,-31.125,-31.375,-31.4375,-31.9375,-32.375,-32.9375,-33.25,-33.375,-33.25,-33,-32.5,-32.3125,-32.0625,-31.9375,-31.8125,-31.625,-31.3125,-31.0625,-31,-30.875,-30.6875,-30.75,-30.6875,-30.75,-30.6875,-30.5625,-30,-30.5,-30.5,-30.5,-30.5625,-30.4375,-30.5,-30.75,-30.75,-30.625,-30.625,-30.625,-30.5625,-30.875,-30.875,-30.8125,-31.125,-31.25,-30.9375,-30.6875,-30.5625,-30.5625,-30.8125,-30.8125,-31,-31,-31.125,-31,-30.9375,-30.75,-30.8125,-30.8125,-31.4375
330,10,2,26/02/2020 12:00,316/317,132/109,241,707,0,0,0,-27.4375,-27.5,-27.4375,-27.5,-27.5,-27.625,-27.8125,-27.9375,-28.3125,-28.5625,-28.8125,-28.9375,-28.6875,-28.1875,-27.75,-27.3125,-27.25,-27.0625,-27,-26.9375,-26.875,-26.75,-26.75,-26.75,-26.8125,-26.8125,-26.75,-26.625,-26.875,-26.6875,-26.75,-26.75,-26.875,-26.875,-26.9375,-26.875,-26.9375,-26.9375,-26.875,-26.8125,-26.75,-26.6875,-26.6875,-26.8125,-27.125,-27.6875,-27.875,-28.1875,-28.125,-28.0625,-27.8125,-27.5,-27.4375,-27.3125,-27.1875,-27.125,-27.1875,-27.125,-27.125,-27.0625,-27.0625,-26.875,-27,-27.125,-27.3125,-27.4375,-27.5,-27.5,-27.5,-27.5,-27.5625,-27.5,-27.75,-27.875,-27.875,-28,-28,-28,-28,-28,-27.875,-27.75,-27.375,-27.125,-27.0625,-27.125,-27,-27.0625,-26.75,-26.6875,-26.6875,-26.6875,-26.8125,-26.75,-26.6875,-26.75,-26.625,-26.625,-26.5625,-26.5625,-26.5,-26.5,-26.75,-26.625,-26.5625,-26.75,-26.75,-26.6875,-26.875,-26.8125,-26.9375,-26.8125,-26.875,-27.125,-27.1875,-27.1875,-27.3125,-27.625,-27.8125,-27.875,-27.875,-28,-27.875,-27.75,-27.625,-27.5625,-27.625,-27.6875,-27.5625,-27.5625,-27.5,-27.4375,-27.3125,-27.5,-27.4375,-27.5,-27.4375,-27.375,-27.5,-27.4375,-27.5,-27.5,-27.4375,-27.5625,-27.625,-27.625,-27.6875,-27.8125,-28,-28.1875,-28.375,-28.4375,-28.375,-28.3125,-27.9375,-27.5625,-27.375,-27.3125,-27.25,-27.1875,-26.9375,-26.9375,-26.8125,-26.8125,-26.8125,-26.875,-26.875,-26.75,-26.75,-26.6875,-26.75,-26.6875,-26.6875,-26.75,-26.75,-26.75,-26.75,-26.875,-26.75,-26.875,-26.75,-26.625,-26.625,-26.75,-26.625,-26.6875,-26.8125,-27.125,-27.4375,-27.75,-27.875,-27.875,-27.75,-27.75,-27.625,-27.5625,-27.5,-27.5,-27.25,-27.1875,-27.125,-27.0625,-26.9375,-27.125,-27.1875,-27.25,-27.25,-27.1875,-26.875,-27.375,-27.4375,-27.625,-27.6875,-27.625,-27.6875,-27.9375,-27.9375,-27.875,-27.9375,-28,-27.875,-28.0625,-27.875,-27.6875,-27.75,-27.625,-27.25,-27,-26.875,-26.8125,-26.9375,-26.875,-27,-26.9375,-27.125,-27,-26.9375,-26.8125,-26.8125,-26.8125,-26.8125
336,10,2,26/02/2020 18:00,318/319,132/109,241,707,0,0,0,-25.8125,-25.125,-24.5,-25.5,-25.9375,-26.1875,-26.3125,-26.3125,-26.375,-26.3125,-26.25,-26.1875,-25.6875,-25.4375,-25.4375,-25.4375,-25.75,-25.9375,-26,-26.0625,-26.1875,-26.1875,-26.125,-26.1875,-26.25,-26.1875,-26.1875,-26.0625,-26.3125,-26.1875,-26.1875,-26.125,-26.1875,-26.125,-26.0625,-26,-26.125,-26.125,-26.1875,-26.0625,-26.0625,-26,-25.8125,-25.6875,-25.25,-24.9375,-24.625,-24.625,-24.4375,-24.625,-25.0625,-25.1875,-24.9375,-24.6875,-25.0625,-25.0625,-25,-24.8125,-24.6875,-24.375,-23.75,-22.1875,-20.625,-20.375,-20.3125,-19.75,-18.3125,-15.625,-9.6875,-3.625,-1.9375,-1.6875,-1.6875,-1.75,-1.6875,-1.8125,-1.75,-1.6875,-1.6875,-1.6875,-1.625,-1.6875,-1.75,-1.625,-1.6875,-1.6875,-1.625,-1.6875,-1.625,-1.625,-1.6875,-1.6875,-1.75,-1.875,-1.8125,-1.6875,-1.6875,-1.6875,-1.6875,-1.6875,-1.625,-1.5625,-1.6875,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.6875,-1.625,-1.6875,-1.625,-1.625,-1.75,-1.75,-1.75,-1.8125,-1.6875,-1.625,-1.625,-1.5625,-1.625,-1.6875,-1.6875,-1.6875,-1.6875,-1.75,-1.8125,-1.8125,-1.875,-1.6875,-1.625,-1.5625,-1.5625,-1.625,-1.625,-1.625,-1.625,-1.6875,-1.625,-1.625,-1.625,-1.625,-1.6875,-1.625,-1.5625,-1.625,-1.625,-1.5625,-1.625,-1.5625,-1.5625,-1.625,-1.625,-1.5625,-1.625,-1.625,-1.625,-1.6875,-1.625,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.5625,-1.5625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.625,-1.625,-1.625,-1.5625,-1.625,-1.5625,-1.6875,-1.625,-1.5625,-1.625,-1.625,-1.5625,-1.5625,-1.5625,-1.625,-1.625,-1.6875,-1.625,-1.6875,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.5625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.5625,-1.625,-1.625,-1.6875,-1.625,-1.5625,-1.5625,-1.625,-1.625,-1.5625,-1.5625,-1.5625,-1.5625,-1.6875,-1.625,-1.5625,-1.625,-1.6875,-1.625,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.625,-1.625,-1.625,-1.625,-1.625,-1.5625,-1.625,-1.625,-24.75
336,11,1,26/02/2020 18:02,320,241,241,707,30,0,8015,1.375,1.625,1.5625,1.9375,2,1.9375,1.8125,1.8125,1.875,1.8125,1.8125,1.75,1.75,1.75,1.625,1.625,1.6875,1.625,1.75,1.6875,1.625,1.5625,1.5625,1.5625,1.5,1.5625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.625,1.6875,1.5625,1.625,1.625,1.625,1.6875,1.625,1.625,1.5625,1.5625,1.5,1.5,1.375,1.375,1.3125,1.375,1.625,1.875,1.875,1.875,1.875,1.9375,2,2,2,2.0625,2.0625,1.75,1.4375,1.625,1.75,1.8125,1.75,1.625,1,0.5625,0.5625,0.5625,0.5,0.625,0.625,0.625,0.625,0.625,0.75,0.625,0.8125,0.75,0.75,0.75,0.75,0.75,0.75,0.8125,0.8125,0.75,0.6875,0.6875,0.5625,0.5625,0.5,0.5625,0.6875,0.75,0.75,0.6875,0.75,0.75,0.75,0.8125,0.6875,0.75,0.6875,0.75,0.75,0.75,0.6875,0.75,0.6875,0.625,0.625,0.625,0.625,0.5625,0.5,0.625,0.625,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.4375,0.5,0.4375,0.5,0.4375,0.5,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.5,0.5625,0.5,0.5625,0.5625,0.625,0.5625,0.5625,0.5,0.5,0.5,0.5625,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.4375,0.4375,0.4375,0.5,0.5,0.5,0.5,0.5,0.5625,0.5,0.5625,0.5,0.5625,0.5625,0.5,0.5,0.5625,0.4375,0.4375,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.4375,0.5,0.5,0.5,0.5,0.4375,0.5,0.4375,0.4375,0.4375,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.375,0.4375,0
336,14,1,26/02/2020 18:02,321,241,241,707,120,0,7980,2.375,2.75,2.875,3.375,3.4375,3.375,3.1875,3.1875,3.25,3.1875,3.1875,3.0625,3.125,3.0625,3,3,3.0625,3,3.125,3.0625,3,2.9375,2.875,2.8125,2.75,2.8125,2.8125,2.8125,2.875,2.8125,2.8125,2.8125,2.8125,2.875,2.875,2.8125,2.875,2.875,2.875,2.9375,2.9375,2.9375,2.875,2.875,2.8125,2.8125,2.6875,2.625,2.375,2.625,3.1875,3.5,3.375,3.25,3.25,3.25,3.375,3.4375,3.5,3.5625,3.5,3.1875,2.75,3,3.1875,3.5,3.6875,3.1875,1.6875,0.75,0.5625,0.625,0.5625,0.625,0.6875,0.625,0.6875,0.6875,0.8125,0.75,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.9375,1.0625,1.0625,0.9375,0.8125,0.8125,0.625,0.625,0.5625,0.625,0.8125,0.875,0.9375,0.875,0.9375,0.9375,0.8125,0.8125,0.8125,0.875,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.75,0.6875,0.6875,0.625,0.625,0.5,0.5,0.625,0.625,0.6875,0.625,0.625,0.625,0.625,0.625,0.625,0.6875,0.625,0.6875,0.5,0.5625,0.5,0.5,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5625,0.5,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.5625,0.5,0.5625,0.5625,0.5625,0.5625,0.5625,0.5,0.5,0.5,0.5,0.5625,0.5,0.5625,0.5,0.5,0.5,0.5,0.5,0.5,0.4375,0.4375,0.375,0.4375,0.5,0.5,0.5,0.5,0.5625,0.4375,0.5625,0.4375,0.5,0.5,0.5,0.5,0.5,0.375,0.4375,0.4375,0.5,0.4375,0.4375,0.375,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.4375,0.5,0.5,0.4375,0.5,0.4375,0.4375,0.4375,0.4375,0.4375,0.5,0.5,0.4375,0.4375,0.375,0.4375,0.375,0.5,-0.1875
